CUSTOMER INVOICE NUMBER;CONCEPT;CUSTOMER;PROVINCE;SECTOR;CUSTOMER IMPORT;CUSTOMER INVOICE DATE;CUSTOMER PAYMENT;SUPPLIER;ZONE;TYPE;IMPORT SUPPLIER
174;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 8.500,00 € ;23/09/2021;YES;PROV-003;ZONE 2;INTERNAL; 2.550,00 € 
175;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 1.200,00 € ;10/11/2020;YES;PROV-005;ZONE 2;INTERNAL; 360,00 € 
176;DEVELOPMENT;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;31/01/2019;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
177;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 200,00 € ;08/09/2020;YES;PROV-003;ZONE 2;INTERNAL; 60,00 € 
178;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 150,00 € ;01/12/2020;YES;PROV-001;ZONE 1;EXTERNAL; 45,00 € 
179;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 120,00 € ;13/08/2020;YES;PROV-002;ZONE 1;EXTERNAL; 36,00 € 
180;PROGRAM;CUSTOMER-0010;MADRID;BANK; 300,00 € ;16/05/2019;NO;PROV-001;ZONE 1;EXTERNAL; 90,00 € 
181;TRAINING;CUSTOMER-0004;MADRID;CONSTRUCTION; 350,00 € ;03/03/2020;NO;PROV-004;ZONE 1;EXTERNAL; 105,00 € 
182;CONSULTING;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;02/01/2021;NO;PROV-004;ZONE 1;EXTERNAL; 90,00 € 
183;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;04/11/2020;NO;PROV-004;ZONE 1;EXTERNAL; 36,00 € 
184;PROJECT;CUSTOMER-0006;BARCELONA;BANK; 150,00 € ;27/07/2019;NO;PROV-004;ZONE 1;EXTERNAL; 45,00 € 
185;TEAMS;CUSTOMER-0007;BARCELONA;BANK; 8.500,00 € ;11/06/2020;NO;PROV-004;ZONE 1;EXTERNAL; 2.550,00 € 
186;PROGRAM;CUSTOMER-0008;ALICANTE;METAL; 1.200,00 € ;04/06/2021;NO;PROV-005;ZONE 2;INTERNAL; 360,00 € 
187;TRAINING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 300,00 € ;30/06/2021;YES;PROV-003;ZONE 2;INTERNAL; 90,00 € 
188;CONSULTING;CUSTOMER-0010;MADRID;BANK; 200,00 € ;06/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 60,00 € 
189;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 150,00 € ;17/04/2021;YES;PROV-005;ZONE 2;INTERNAL; 45,00 € 
190;PROJECT;CUSTOMER-0010;MADRID;BANK; 120,00 € ;07/09/2019;YES;PROV-003;ZONE 2;INTERNAL; 36,00 € 
191;TEAMS;CUSTOMER-0001;MADRID;METAL; 300,00 € ;02/12/2021;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
192;CONSULTING;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 350,00 € ;28/01/2020;YES;PROV-003;ZONE 2;INTERNAL; 105,00 € 
193;DEVELOPMENT;CUSTOMER-0003;MADRID;CONSTRUCTION; 300,00 € ;23/08/2019;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
194;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 120,00 € ;09/10/2021;YES;PROV-005;ZONE 2;INTERNAL; 36,00 € 
195;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;30/08/2021;YES;PROV-003;ZONE 2;INTERNAL; 45,00 € 
196;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 1.200,00 € ;08/02/2020;YES;PROV-001;ZONE 1;EXTERNAL; 360,00 € 
197;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 800,00 € ;12/05/2020;YES;PROV-002;ZONE 1;EXTERNAL; 240,00 € 
198;CONSULTING;CUSTOMER-0008;ALICANTE;METAL; 750,00 € ;21/04/2019;YES;PROV-001;ZONE 1;EXTERNAL; 225,00 € 
199;DEVELOPMENT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 4.500,00 € ;08/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 1.350,00 € 
200;PROJECT;CUSTOMER-0010;MADRID;BANK; 500,00 € ;28/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 150,00 € 
201;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;29/08/2021;YES;PROV-003;ZONE 2;INTERNAL; 225,00 € 
202;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 950,00 € ;05/01/2021;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
203;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;30/04/2020;YES;PROV-003;ZONE 2;INTERNAL; 204,00 € 
204;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 950,00 € ;03/10/2019;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
205;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 1.500,00 € ;01/03/2019;YES;PROV-005;ZONE 2;INTERNAL; 450,00 € 
206;TRAINING;CUSTOMER-0008;ALICANTE;METAL; 5.000,00 € ;13/11/2019;YES;PROV-003;ZONE 2;INTERNAL; 1.500,00 € 
207;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 6.500,00 € ;28/08/2019;YES;PROV-001;ZONE 1;EXTERNAL; 1.950,00 € 
208;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;09/05/2020;YES;PROV-002;ZONE 1;EXTERNAL; 360,00 € 
209;PROJECT;CUSTOMER-0001;MADRID;METAL; 800,00 € ;11/05/2020;NO;PROV-001;ZONE 1;EXTERNAL; 240,00 € 
210;TEAMS;CUSTOMER-0010;MADRID;BANK; 750,00 € ;26/08/2020;NO;PROV-005;ZONE 2;INTERNAL; 225,00 € 
211;CONSULTING;CUSTOMER-0001;MADRID;METAL; 4.500,00 € ;05/04/2019;NO;PROV-003;ZONE 2;INTERNAL; 1.350,00 € 
212;DEVELOPMENT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 500,00 € ;15/05/2019;NO;PROV-005;ZONE 2;INTERNAL; 125,00 € 
213;PROJECT;CUSTOMER-0003;MADRID;CONSTRUCTION; 750,00 € ;05/12/2020;NO;PROV-005;ZONE 2;INTERNAL; 187,50 € 
214;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 950,00 € ;17/10/2020;NO;PROV-003;ZONE 2;INTERNAL; 237,50 € 
215;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;01/01/2021;NO;PROV-005;ZONE 2;INTERNAL; 170,00 € 
216;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 950,00 € ;24/06/2020;YES;PROV-003;ZONE 2;INTERNAL; 237,50 € 
217;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 1.500,00 € ;16/01/2021;YES;PROV-005;ZONE 2;INTERNAL; 375,00 € 
218;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 5.000,00 € ;14/12/2019;YES;PROV-005;ZONE 2;INTERNAL; 1.250,00 € 
219;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 6.500,00 € ;18/06/2021;YES;PROV-003;ZONE 2;INTERNAL; 1.625,00 € 
220;TEAMS;CUSTOMER-0010;MADRID;BANK; 8.500,00 € ;25/10/2021;YES;PROV-001;ZONE 1;EXTERNAL; 2.125,00 € 
221;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 1.200,00 € ;10/08/2021;YES;PROV-002;ZONE 1;EXTERNAL; 300,00 € 
222;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;18/07/2021;YES;PROV-001;ZONE 1;EXTERNAL; 75,00 € 
223;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 200,00 € ;26/10/2021;NO;PROV-004;ZONE 1;EXTERNAL; 50,00 € 
224;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 150,00 € ;12/02/2020;NO;PROV-004;ZONE 1;EXTERNAL; 37,50 € 
225;PROJECT;CUSTOMER-0003;MADRID;CONSTRUCTION; 120,00 € ;14/08/2021;NO;PROV-004;ZONE 1;EXTERNAL; 30,00 € 
226;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 300,00 € ;08/11/2019;NO;PROV-004;ZONE 1;EXTERNAL; 75,00 € 
227;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 350,00 € ;09/09/2019;NO;PROV-004;ZONE 1;EXTERNAL; 87,50 € 
228;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;25/03/2019;NO;PROV-005;ZONE 2;INTERNAL; 75,00 € 
229;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 120,00 € ;02/08/2021;YES;PROV-003;ZONE 2;INTERNAL; 30,00 € 
230;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 150,00 € ;11/07/2020;YES;PROV-005;ZONE 2;INTERNAL; 37,50 € 
231;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 1.200,00 € ;08/05/2020;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
232;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 800,00 € ;09/08/2020;YES;PROV-003;ZONE 2;INTERNAL; 200,00 € 
233;PROGRAM;CUSTOMER-0010;MADRID;BANK; 750,00 € ;27/11/2021;YES;PROV-005;ZONE 2;INTERNAL; 187,50 € 
234;TRAINING;CUSTOMER-0001;MADRID;METAL; 4.500,00 € ;14/04/2020;YES;PROV-003;ZONE 2;INTERNAL; 1.125,00 € 
235;CONSULTING;CUSTOMER-0010;MADRID;BANK; 500,00 € ;16/08/2021;YES;PROV-005;ZONE 2;INTERNAL; 125,00 € 
236;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 750,00 € ;04/08/2020;YES;PROV-005;ZONE 2;INTERNAL; 187,50 € 
237;PROJECT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 950,00 € ;02/01/2019;YES;PROV-003;ZONE 2;INTERNAL; 237,50 € 
238;TEAMS;CUSTOMER-0003;MADRID;CONSTRUCTION; 680,00 € ;17/04/2019;YES;PROV-001;ZONE 1;EXTERNAL; 170,00 € 
239;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 950,00 € ;21/02/2019;YES;PROV-002;ZONE 1;EXTERNAL; 237,50 € 
240;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 1.500,00 € ;01/04/2020;YES;PROV-001;ZONE 1;EXTERNAL; 375,00 € 
241;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 5.000,00 € ;24/05/2021;YES;PROV-005;ZONE 2;INTERNAL; 1.250,00 € 
242;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 6.500,00 € ;31/10/2020;YES;PROV-003;ZONE 2;INTERNAL; 1.625,00 € 
243;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 8.500,00 € ;04/06/2021;YES;PROV-005;ZONE 2;INTERNAL; 2.125,00 € 
244;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 1.200,00 € ;12/10/2021;YES;PROV-005;ZONE 2;INTERNAL; 300,00 € 
245;CONSULTING;CUSTOMER-0010;MADRID;BANK; 300,00 € ;14/11/2021;YES;PROV-003;ZONE 2;INTERNAL; 75,00 € 
246;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 200,00 € ;19/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 50,00 € 
247;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;09/11/2019;YES;PROV-003;ZONE 2;INTERNAL; 60,00 € 
248;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;17/11/2020;YES;PROV-005;ZONE 2;INTERNAL; 48,00 € 
249;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;23/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 120,00 € 
250;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 350,00 € ;22/01/2020;NO;PROV-003;ZONE 2;INTERNAL; 157,50 € 
251;CONSULTING;CUSTOMER-0008;ALICANTE;METAL; 300,00 € ;14/06/2019;NO;PROV-001;ZONE 1;EXTERNAL; 135,00 € 
252;DEVELOPMENT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 120,00 € ;08/11/2020;NO;PROV-002;ZONE 1;EXTERNAL; 54,00 € 
253;PROJECT;CUSTOMER-0010;MADRID;BANK; 150,00 € ;04/03/2019;NO;PROV-001;ZONE 1;EXTERNAL; 67,50 € 
254;TEAMS;CUSTOMER-0001;MADRID;METAL; 8.500,00 € ;27/04/2019;NO;PROV-004;ZONE 1;EXTERNAL; 3.825,00 € 
255;PROGRAM;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;04/10/2021;NO;PROV-004;ZONE 1;EXTERNAL; 540,00 € 
256;TRAINING;CUSTOMER-0001;MADRID;METAL; 300,00 € ;23/01/2020;NO;PROV-004;ZONE 1;EXTERNAL; 135,00 € 
257;CONSULTING;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 200,00 € ;19/10/2021;YES;PROV-004;ZONE 1;EXTERNAL; 90,00 € 
258;DEVELOPMENT;CUSTOMER-0003;MADRID;CONSTRUCTION; 150,00 € ;06/03/2021;YES;PROV-004;ZONE 1;EXTERNAL; 67,50 € 
259;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 120,00 € ;15/12/2020;YES;PROV-005;ZONE 2;INTERNAL; 54,00 € 
260;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;26/03/2021;YES;PROV-003;ZONE 2;INTERNAL; 135,00 € 
261;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 350,00 € ;03/08/2021;YES;PROV-005;ZONE 2;INTERNAL; 157,50 € 
262;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;10/03/2019;YES;PROV-005;ZONE 2;INTERNAL; 135,00 € 
263;CONSULTING;CUSTOMER-0008;ALICANTE;METAL; 120,00 € ;25/02/2020;YES;PROV-003;ZONE 2;INTERNAL; 54,00 € 
264;DEVELOPMENT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 150,00 € ;01/05/2021;YES;PROV-005;ZONE 2;INTERNAL; 67,50 € 
265;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;14/10/2021;YES;PROV-003;ZONE 2;INTERNAL; 540,00 € 
266;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 800,00 € ;23/05/2019;YES;PROV-005;ZONE 2;INTERNAL; 360,00 € 
267;TEAMS;CUSTOMER-0010;MADRID;BANK; 750,00 € ;15/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 337,50 € 
268;PROGRAM;CUSTOMER-0001;MADRID;METAL; 4.500,00 € ;06/11/2021;YES;PROV-003;ZONE 2;INTERNAL; 2.025,00 € 
269;TRAINING;CUSTOMER-0010;MADRID;BANK; 500,00 € ;09/04/2020;YES;PROV-001;ZONE 1;EXTERNAL; 225,00 € 
270;CONSULTING;CUSTOMER-0001;MADRID;METAL; 750,00 € ;20/08/2021;YES;PROV-002;ZONE 1;EXTERNAL; 337,50 € 
271;DEVELOPMENT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 950,00 € ;19/11/2021;YES;PROV-001;ZONE 1;EXTERNAL; 427,50 € 
272;PROJECT;CUSTOMER-0003;MADRID;CONSTRUCTION; 680,00 € ;24/07/2020;YES;PROV-005;ZONE 2;INTERNAL; 306,00 € 
273;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 950,00 € ;20/09/2019;YES;PROV-003;ZONE 2;INTERNAL; 427,50 € 
274;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 1.500,00 € ;15/12/2021;YES;PROV-005;ZONE 2;INTERNAL; 675,00 € 
275;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 5.000,00 € ;23/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 2.250,00 € 
276;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 6.500,00 € ;29/09/2021;YES;PROV-003;ZONE 2;INTERNAL; 2.925,00 € 
277;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 4.500,00 € ;25/12/2019;NO;PROV-005;ZONE 2;INTERNAL; 1.350,00 € 
278;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 500,00 € ;12/12/2019;NO;PROV-003;ZONE 2;INTERNAL; 150,00 € 
279;TEAMS;CUSTOMER-0010;MADRID;BANK; 750,00 € ;01/08/2021;NO;PROV-005;ZONE 2;INTERNAL; 225,00 € 
280;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 950,00 € ;01/05/2021;NO;PROV-005;ZONE 2;INTERNAL; 285,00 € 
281;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;31/03/2020;NO;PROV-003;ZONE 2;INTERNAL; 204,00 € 
282;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 950,00 € ;04/10/2020;NO;PROV-001;ZONE 1;EXTERNAL; 285,00 € 
283;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 1.500,00 € ;27/08/2019;NO;PROV-002;ZONE 1;EXTERNAL; 450,00 € 
284;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 5.000,00 € ;27/04/2020;YES;PROV-001;ZONE 1;EXTERNAL; 1.500,00 € 
285;TRAINING;CUSTOMER-0008;ALICANTE;METAL; 6.500,00 € ;08/02/2021;YES;PROV-004;ZONE 1;EXTERNAL; 1.950,00 € 
286;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 8.500,00 € ;12/12/2020;YES;PROV-004;ZONE 1;EXTERNAL; 2.550,00 € 
287;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 1.200,00 € ;21/08/2021;YES;PROV-004;ZONE 1;EXTERNAL; 360,00 € 
288;PROJECT;CUSTOMER-0001;MADRID;METAL; 300,00 € ;04/01/2021;YES;PROV-004;ZONE 1;EXTERNAL; 90,00 € 
289;TEAMS;CUSTOMER-0010;MADRID;BANK; 200,00 € ;05/08/2019;YES;PROV-004;ZONE 1;EXTERNAL; 60,00 € 
290;PROGRAM;CUSTOMER-0001;MADRID;METAL; 150,00 € ;22/10/2020;YES;PROV-005;ZONE 2;INTERNAL; 45,00 € 
291;PROJECT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 120,00 € ;04/07/2019;YES;PROV-003;ZONE 2;INTERNAL; 36,00 € 
292;TEAMS;CUSTOMER-0003;MADRID;CONSTRUCTION; 300,00 € ;08/09/2019;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
293;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 350,00 € ;04/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 105,00 € 
294;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;29/10/2020;YES;PROV-003;ZONE 2;INTERNAL; 90,00 € 
295;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 120,00 € ;31/10/2020;YES;PROV-005;ZONE 2;INTERNAL; 36,00 € 
296;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 150,00 € ;05/11/2019;YES;PROV-003;ZONE 2;INTERNAL; 45,00 € 
297;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 8.500,00 € ;05/03/2019;YES;PROV-005;ZONE 2;INTERNAL; 2.550,00 € 
298;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 1.200,00 € ;18/10/2020;YES;PROV-005;ZONE 2;INTERNAL; 360,00 € 
299;CONSULTING;CUSTOMER-0010;MADRID;BANK; 300,00 € ;27/05/2021;YES;PROV-003;ZONE 2;INTERNAL; 90,00 € 
300;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 200,00 € ;03/02/2020;YES;PROV-001;ZONE 1;EXTERNAL; 60,00 € 
301;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;16/05/2020;YES;PROV-002;ZONE 1;EXTERNAL; 45,00 € 
302;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;13/08/2019;YES;PROV-001;ZONE 1;EXTERNAL; 36,00 € 
303;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;11/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 90,00 € 
304;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 350,00 € ;05/02/2020;YES;PROV-003;ZONE 2;INTERNAL; 105,00 € 
305;CONSULTING;CUSTOMER-0008;ALICANTE;METAL; 300,00 € ;06/08/2019;NO;PROV-005;ZONE 2;INTERNAL; 90,00 € 
306;DEVELOPMENT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 120,00 € ;23/06/2019;NO;PROV-005;ZONE 2;INTERNAL; 36,00 € 
307;PROJECT;CUSTOMER-0010;MADRID;BANK; 150,00 € ;20/05/2019;NO;PROV-003;ZONE 2;INTERNAL; 45,00 € 
308;TEAMS;CUSTOMER-0001;MADRID;METAL; 1.200,00 € ;31/10/2019;NO;PROV-005;ZONE 2;INTERNAL; 360,00 € 
309;PROGRAM;CUSTOMER-0010;MADRID;BANK; 800,00 € ;26/01/2019;NO;PROV-003;ZONE 2;INTERNAL; 240,00 € 
310;TRAINING;CUSTOMER-0001;MADRID;METAL; 750,00 € ;05/09/2020;NO;PROV-005;ZONE 2;INTERNAL; 225,00 € 
311;CONSULTING;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 4.500,00 € ;17/08/2020;NO;PROV-005;ZONE 2;INTERNAL; 1.350,00 € 
312;DEVELOPMENT;CUSTOMER-0003;MADRID;CONSTRUCTION; 500,00 € ;26/12/2021;YES;PROV-003;ZONE 2;INTERNAL; 150,00 € 
313;PROJECT;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;13/09/2019;YES;PROV-001;ZONE 1;EXTERNAL; 225,00 € 
314;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 950,00 € ;23/10/2019;YES;PROV-002;ZONE 1;EXTERNAL; 285,00 € 
315;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 680,00 € ;11/03/2021;YES;PROV-001;ZONE 1;EXTERNAL; 204,00 € 
316;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 950,00 € ;04/04/2019;YES;PROV-004;ZONE 1;EXTERNAL; 285,00 € 
317;CONSULTING;CUSTOMER-0008;ALICANTE;METAL; 1.500,00 € ;12/10/2020;YES;PROV-004;ZONE 1;EXTERNAL; 450,00 € 
318;DEVELOPMENT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 5.000,00 € ;04/05/2020;YES;PROV-004;ZONE 1;EXTERNAL; 1.500,00 € 
319;PROJECT;CUSTOMER-0010;MADRID;BANK; 6.500,00 € ;19/09/2019;NO;PROV-005;ZONE 2;INTERNAL; 1.950,00 € 
320;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 1.200,00 € ;11/06/2021;NO;PROV-003;ZONE 2;INTERNAL; 360,00 € 
321;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 800,00 € ;01/09/2021;NO;PROV-005;ZONE 2;INTERNAL; 240,00 € 
322;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 750,00 € ;21/01/2021;NO;PROV-005;ZONE 2;INTERNAL; 187,50 € 
323;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 4.500,00 € ;08/05/2019;NO;PROV-003;ZONE 2;INTERNAL; 1.125,00 € 
324;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 500,00 € ;16/08/2021;NO;PROV-005;ZONE 2;INTERNAL; 125,00 € 
325;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 750,00 € ;12/10/2020;YES;PROV-003;ZONE 2;INTERNAL; 187,50 € 
326;TEAMS;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 950,00 € ;26/05/2019;YES;PROV-005;ZONE 2;INTERNAL; 237,50 € 
327;PROGRAM;CUSTOMER-0010;MADRID;BANK; 680,00 € ;16/04/2021;YES;PROV-005;ZONE 2;INTERNAL; 170,00 € 
328;TRAINING;CUSTOMER-0001;MADRID;METAL; 950,00 € ;03/08/2021;YES;PROV-003;ZONE 2;INTERNAL; 237,50 € 
329;CONSULTING;CUSTOMER-0010;MADRID;BANK; 1.500,00 € ;28/11/2019;YES;PROV-001;ZONE 1;EXTERNAL; 375,00 € 
330;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 5.000,00 € ;20/09/2021;YES;PROV-002;ZONE 1;EXTERNAL; 1.250,00 € 
331;PROJECT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 6.500,00 € ;29/11/2019;YES;PROV-001;ZONE 1;EXTERNAL; 1.625,00 € 
332;TEAMS;CUSTOMER-0003;MADRID;CONSTRUCTION; 8.500,00 € ;10/11/2019;YES;PROV-004;ZONE 1;EXTERNAL; 2.125,00 € 
333;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 1.200,00 € ;18/02/2020;YES;PROV-004;ZONE 1;EXTERNAL; 300,00 € 
334;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 300,00 € ;24/04/2021;YES;PROV-004;ZONE 1;EXTERNAL; 75,00 € 
335;PROJECT;CUSTOMER-0006;BARCELONA;BANK; 200,00 € ;25/12/2020;YES;PROV-004;ZONE 1;EXTERNAL; 50,00 € 
336;TEAMS;CUSTOMER-0007;BARCELONA;BANK; 150,00 € ;24/07/2021;YES;PROV-004;ZONE 1;EXTERNAL; 37,50 € 
337;PROGRAM;CUSTOMER-0008;ALICANTE;METAL; 120,00 € ;01/05/2019;YES;PROV-005;ZONE 2;INTERNAL; 30,00 € 
338;TRAINING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 300,00 € ;06/01/2020;YES;PROV-003;ZONE 2;INTERNAL; 75,00 € 
339;CONSULTING;CUSTOMER-0010;MADRID;BANK; 350,00 € ;26/09/2019;YES;PROV-005;ZONE 2;INTERNAL; 87,50 € 
340;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 300,00 € ;20/11/2020;YES;PROV-005;ZONE 2;INTERNAL; 75,00 € 
341;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 120,00 € ;06/01/2020;YES;PROV-003;ZONE 2;INTERNAL; 30,00 € 
342;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 150,00 € ;09/11/2019;YES;PROV-005;ZONE 2;INTERNAL; 37,50 € 
343;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 1.200,00 € ;20/02/2020;YES;PROV-003;ZONE 2;INTERNAL; 300,00 € 
344;TRAINING;CUSTOMER-0003;MADRID;CONSTRUCTION; 800,00 € ;20/01/2019;YES;PROV-005;ZONE 2;INTERNAL; 200,00 € 
345;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;20/08/2019;YES;PROV-005;ZONE 2;INTERNAL; 187,50 € 
346;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 4.500,00 € ;25/11/2021;NO;PROV-003;ZONE 2;INTERNAL; 1.125,00 € 
347;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 500,00 € ;03/05/2021;NO;PROV-001;ZONE 1;EXTERNAL; 125,00 € 
